epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,404.42,2.26805,1.11947,1.88048,0.86223,0.77647,0.88281,0.40827,2.12425,1.1116,1.92964,0.0017162,0.0017162,0.0017162
45,413.709,2.31775,1.1361,1.86709,0.84745,0.7516,0.87904,0.28975,2.40656,1.15932,2.08705,0.0017096,0.0017096,0.0017096
46,424.676,2.33456,1.13883,1.8719,0.88908,0.75294,0.87673,0.38149,2.11138,1.12864,1.88871,0.001703,0.001703,0.001703
47,433.515,2.30526,1.15366,1.89359,0.85112,0.8071,0.90129,0.36325,2.20526,1.11067,1.89664,0.0016964,0.0016964,0.0016964
48,444.185,2.28372,1.12362,1.89218,0.92455,0.72941,0.89364,0.3634,2.27197,1.05057,2.00332,0.0016898,0.0016898,0.0016898
49,453.298,2.282,1.10046,1.86988,0.93183,0.80414,0.92183,0.40193,2.12965,1.0121,1.9798,0.0016832,0.0016832,0.0016832
50,460.237,2.19232,1.09306,1.83294,0.91723,0.77647,0.91753,0.40234,2.12292,1.05578,1.9003,0.0016766,0.0016766,0.0016766
51,467.202,2.16318,1.06403,1.80023,0.9186,0.79656,0.90001,0.41454,2.07664,1.04698,1.8757,0.00167,0.00167,0.00167
52,475.892,2.13889,1.04346,1.83275,0.88619,0.82445,0.92492,0.38912,2.13765,1.049,1.94803,0.0016634,0.0016634,0.0016634
53,485.348,2.14144,1.06822,1.82518,0.8946,0.79888,0.90854,0.43001,2.06936,1.03231,1.88325,0.0016568,0.0016568,0.0016568
54,494.369,2.2612,1.07591,1.84815,0.78299,0.83529,0.85941,0.29053,2.49415,1.03342,2.25302,0.0016502,0.0016502,0.0016502
55,504.146,2.26779,1.08627,1.84714,0.90612,0.72353,0.90842,0.42004,2.05592,1.05987,1.90534,0.0016436,0.0016436,0.0016436
56,513.749,2.2544,1.13353,1.85513,0.96113,0.72718,0.89405,0.39195,2.16256,1.05321,1.92839,0.001637,0.001637,0.001637
57,520.995,2.20124,1.11056,1.84211,0.84375,0.81765,0.90768,0.39718,2.13565,1.09128,1.88017,0.0016304,0.0016304,0.0016304
58,527.675,2.15604,1.08677,1.8198,0.92291,0.84502,0.92627,0.40523,2.12436,1.05829,1.95282,0.0016238,0.0016238,0.0016238
59,534.248,2.16314,1.09791,1.83272,0.82293,0.83529,0.90405,0.38475,2.19785,1.06814,1.9238,0.0016172,0.0016172,0.0016172
60,542.34,2.15254,1.07117,1.82126,0.90731,0.83529,0.91927,0.42257,2.04373,1.08102,1.89247,0.0016106,0.0016106,0.0016106
61,550.341,2.13888,1.04921,1.79183,0.86976,0.82494,0.8982,0.36533,2.22635,1.06899,1.99938,0.001604,0.001604,0.001604
62,560.226,2.16841,1.07164,1.80939,0.9182,0.85842,0.92586,0.35444,2.26677,1.03169,2.01684,0.0015974,0.0015974,0.0015974
63,570.009,2.18835,1.09559,1.81993,0.89634,0.86468,0.93912,0.39655,2.17551,1.03996,1.9652,0.0015908,0.0015908,0.0015908
64,579.41,2.08954,1.04129,1.79007,0.90972,0.76471,0.87245,0.32147,2.30887,1.09545,1.98954,0.0015842,0.0015842,0.0015842
65,588.757,2.24171,1.07544,1.79134,0.88005,0.7768,0.88307,0.36523,2.12387,1.0939,1.9048,0.0015776,0.0015776,0.0015776
66,598.578,2.17053,1.05765,1.79573,0.93024,0.86279,0.93218,0.44167,2.0228,1.00932,1.89568,0.001571,0.001571,0.001571
67,608.286,2.28106,1.10002,1.86616,0.94169,0.85882,0.93646,0.42971,2.04882,1.02551,1.85636,0.0015644,0.0015644,0.0015644
68,618.173,2.19925,1.10784,1.81777,0.93292,0.77647,0.90489,0.40804,2.12856,1.06146,1.87938,0.0015578,0.0015578,0.0015578
69,625.257,2.20276,1.11195,1.76325,0.91553,0.76508,0.91613,0.42618,2.03712,1.06579,1.88896,0.0015512,0.0015512,0.0015512
70,633.14,2.16845,1.07045,1.81323,0.90584,0.77647,0.91592,0.36855,2.22294,1.11783,1.96004,0.0015446,0.0015446,0.0015446
71,641.29,2.22483,1.06827,1.80213,0.9072,0.80509,0.91368,0.41953,2.07715,1.04716,1.85407,0.001538,0.001538,0.001538
72,650.018,2.12865,1.05956,1.79581,0.90115,0.80438,0.91519,0.35675,2.26906,1.0544,2.05617,0.0015314,0.0015314,0.0015314
73,660.023,2.19187,1.03931,1.81389,0.91074,0.84023,0.92846,0.41032,2.04522,1.03193,1.86166,0.0015248,0.0015248,0.0015248
74,669.12,2.0868,1.02057,1.79512,0.88945,0.85187,0.93273,0.44669,1.95861,1.02556,1.8348,0.0015182,0.0015182,0.0015182
75,678.638,2.1014,1.0548,1.79967,0.91294,0.86357,0.92738,0.40477,2.11203,1.02596,1.9429,0.0015116,0.0015116,0.0015116
76,688.191,2.10771,1.04032,1.76494,0.92149,0.82852,0.9226,0.41132,2.10707,1.04997,1.8817,0.001505,0.001505,0.001505
77,696.118,2.0785,1.07892,1.76846,0.89795,0.82941,0.91982,0.41807,2.01139,1.0245,1.88565,0.0014984,0.0014984,0.0014984
78,704.28,2.03437,1.01438,1.76605,0.9353,0.81176,0.92234,0.43315,2.02007,1.0103,1.86362,0.0014918,0.0014918,0.0014918
79,713.442,2.06345,1.01778,1.75607,0.952,0.84118,0.93334,0.45716,1.99575,1.00239,1.84009,0.0014852,0.0014852,0.0014852
80,723.506,2.0265,1.0075,1.7404,0.89291,0.83381,0.92778,0.42308,2.09052,1.04052,1.93632,0.0014786,0.0014786,0.0014786
81,731.988,2.02799,1.02944,1.78135,0.89916,0.84706,0.92535,0.35441,2.24134,1.04007,2.0241,0.001472,0.001472,0.001472
82,743.636,2.10972,1.01488,1.76212,0.88427,0.85394,0.926,0.40607,2.08129,1.03625,1.88911,0.0014654,0.0014654,0.0014654
83,753.418,2.07229,1.03021,1.79338,0.87753,0.82941,0.91917,0.42017,2.06077,1.01966,1.88628,0.0014588,0.0014588,0.0014588
84,762.308,2.10936,1.01615,1.77686,0.87597,0.86471,0.92535,0.40731,2.05427,1.02233,1.93652,0.0014522,0.0014522,0.0014522
85,771.576,2.06601,1.0266,1.75602,0.88211,0.87059,0.93652,0.43484,1.98325,1.04782,1.84637,0.0014456,0.0014456,0.0014456
86,778.43,2.02368,1.05588,1.74823,0.8794,0.81496,0.89748,0.40204,2.14213,1.05106,2.01712,0.001439,0.001439,0.001439
87,785.049,2.01556,1.01481,1.7345,0.89401,0.79388,0.90812,0.43963,2.0236,1.05227,1.87127,0.0014324,0.0014324,0.0014324
88,791.636,2.02662,1.00506,1.72663,0.8731,0.85882,0.93429,0.44499,1.9782,1.00066,1.8392,0.0014258,0.0014258,0.0014258
